,county,fips_code,year,month,declarationTitle,disasterNumber_Summed,validRegistrations_Summed,averageFemaInspectedDamage_Summed,totalInspected_Summed,totalDamage_Summed,noFemaInspectedDamage_Summed,femaInspectedDamageBetween1And10000_Summed,femaInspectedDamageBetween10001And20000_Summed,femaInspectedDamageBetween20001And30000_Summed,femaInspectedDamageGreaterThan30000_Summed,approvedForFemaAssistance_Summed,totalApprovedIhpAmount_Summed,repairReplaceAmount_Summed,rentalAmount_Summed,otherNeedsAmount_Summed,approvedBetween1And10000_Summed,approvedBetween10001And25000_Summed,approvedBetween25001AndMax_Summed,totalMaxGrants_Summed,fyDeclared_Summed,ihProgramDeclared_Summed,iaProgramDeclared_Summed,paProgramDeclared_Summed,hmProgramDeclared_Summed,fipsStateCode_Summed,placeCode_Summed,declarationRequestNumber_Summed
0,Acadia (Parish),22001,2005,8,HURRICANE KATRINA,125034,343,569741.7308660875,251,1557309.94,151,78,12,1,9,171,696392.9,140749.23,76814.0,211289.67,137,16,18,3,156390.0,78.0,78.0,78.0,78.0,1716.0,7722078.0,396552.0
1,Acadia (Parish),22001,2005,9,HURRICANE RITA,102848,7645,162856.08867518397,5235,7231663.44,1683,3504,24,4,20,3134,7816998.1899999995,2434650.77,651818.53,1102073.82,2679,393,62,4,128320.0,64.0,64.0,64.0,64.0,1408.0,6336064.0,328896.0
2,Acadia (Parish),22001,2008,9,HURRICANE GUSTAV,62510,2606,37513.884100924886,1404,2209123.3,386,985,30,1,2,537,1772681.11,1310490.03,220090.0,233378.90000000002,369,111,57,2,70280.0,35.0,35.0,35.0,35.0,770.0,3465035.0,284830.0
3,Acadia (Parish),22001,2008,9,HURRICANE IKE,30464,446,23244.209763505944,270,446852.25,68,198,2,2,0,103,338363.23,262907.04000000004,47271.0,28185.190000000002,74,21,8,0,34136.0,17.0,17.0,17.0,17.0,374.0,1683017.0,138516.0
4,Acadia (Parish),22001,2020,8,HURRICANE LAURA,127652,1882,76803.40932636293,647,3054779.96,162,398,76,7,4,468,1927212.12,1308122.76,411820.0,206505.41,262,140,66,0,56560.0,28.0,0.0,28.0,28.0,616.0,2772028.0,567028.0
5,Acadia (Parish),22001,2020,10,HURRICANE DELTA,196510,2311,68196.13189329194,994,4393134.43,194,681,97,11,11,622,2786569.5500000003,2065938.16,413940.7,301827.42,333,206,83,1,86903.0,43.0,0.0,43.0,43.0,946.0,4257043.0,873373.0
6,Accomack (County),51001,2003,9,HURRICANE ISABEL,46221,219,33706.55783866803,148,486315.99,13,125,10,0,0,92,355467.02,210433.80000000002,24748.0,119403.65999999999,50,32,10,1,62093.0,31.0,31.0,31.0,31.0,1581.0,3069031.0,96410.0
7,Adams (County),28001,2005,8,HURRICANE KATRINA,81804,2647,164622.87984433284,1836,1538660.47,639,1190,3,1,3,1026,2099835.53,704384.0499999999,288424.0,297027.48,909,103,14,0,102255.0,51.0,51.0,51.0,51.0,1428.0,5049051.0,259182.0
8,Adams (County),28001,2008,9,HURRICANE GUSTAV,8970,1552,5310.242034420898,1112,976216.5100000001,288,816,3,0,5,256,499790.87,369912.12,73328.0,56205.25,224,25,7,3,10040.0,5.0,5.0,5.0,5.0,140.0,495005.0,40695.0
9,Adams (County),28001,2012,8,HURRICANE ISAAC,16324,354,3338.5873554913296,264,244724.03999999998,61,199,2,0,2,83,205253.84,156196.29,39823.0,9234.55,69,10,4,2,8048.0,4.0,0.0,4.0,4.0,112.0,396004.0,48308.0
10,Addison (County),50001,2011,9,TROPICAL STORM IRENE,100550,176,50061.22536522791,133,560266.57,13,108,6,4,2,107,518535.82,469813.05000000005,34704.0,14018.769999999999,61,26,20,2,50275.0,25.0,0.0,25.0,25.0,1250.0,2475025.0,280200.0
11,Adjuntas (Municipio),72001,2011,8,HURRICANE IRENE,16068,331,1565.6383537832312,324,139401.53,170,153,0,1,0,125,140685.06,76847.14,13079.0,50758.92,115,9,1,0,8044.0,4.0,0.0,4.0,4.0,288.0,396004.0,44756.0
12,Adjuntas (Municipio),72001,2017,9,HURRICANE MARIA,182238,4071,37707.576400833335,3052,14063272.88,812,1968,182,41,49,2137,10383518.84,6473195.19,766260.9,3142888.75,1349,431,357,36,84714.0,42.0,0.0,42.0,42.0,3024.0,4158042.0,718872.0
13,Aguada (Municipio),72003,2017,9,HURRICANE MARIA,325425,9902,110100.94556760984,6654,21126827.06,2401,3794,350,66,43,4169,16643330.850000001,9066667.35,1175568.0,6396487.819999999,2830,720,619,37,151275.0,75.0,0.0,75.0,75.0,5400.0,7425225.0,1283700.0
